R,Diptera,Syrphidae,Allograpta nasuta,8,N,42,3.74 ± 0.62,20
R,Hymenoptera,Apidae,Apis mellifera,13,I,645,6.94 ± 0.27,43
R,Hymenoptera,Formicidae,Brachymyrmex sp,17,N,228,1.83 ± 0.12,20
R,Diptera,Calliphoridae,Chrysomya megacephala,31,N,129,5.16 ± 0.50,27
R,Diptera,Muscidae,Musca domestica,96,I,133,3.35 ± 0.30,23
R,Lepidoptera,Crambidae,Nacoleia sp 1,98,Un,252,2.37 ± 0.15,24
R,Diptera,Lauxaniidae,Pachycerina crinicornis,107,E,288,3.03 ± 0.14,35
R,Diptera,Syrphidae,Paragus borbonicus,112,I,75,4.80 ± 0.55,21
R,Diptera,Calliphoridae,Stomorhina lunata,142,I,444,4.81 ± 0.25,35
R,Hymenoptera,Formicidae,Technomyrmex albipes,150,I,456,2.05 ± 0.08,45
